airline,year,month,aircraft_count,passenger_count,load_factor_pct,month_name
AirAsia India,2024,1,5158,802969.0,87.572,January
AirAsia India,2024,2,4933,768022.0,87.605,February
AirAsia India,2024,3,5074,769891.0,85.106,March
AirAsia India,2024,4,4687,716857.0,85.827,April
AirAsia India,2024,5,4511,703339.0,86.94,May
AirAsia India,2024,6,4048,637860.0,88.596,June
AirAsia India,2024,7,3916,590023.0,85.724,July
AirAsia India,2024,8,3857,577347.0,84.438,August
AirAsia India,2024,9,3684,535294.0,81.596,September
Air Carnival,2016,8,88,4036.0,65.572,August
Air Carnival,2016,9,150,6357.0,60.423,September
Air Carnival,2016,10,188,7708.0,58.548,October
Air Carnival,2016,11,194,9232.0,68.003,November
Air Carnival,2016,12,234,9752.0,58.908,December
Air Carnival,2017,1,278,11041.0,56.559,January
Air Carnival,2017,2,266,13629.0,73.609,February
Air Carnival,2017,3,280,12970.0,64.799,March
Air Carnival,2017,4,21,1008.0,66.714,April
Air Costa,2015,1,1032,65179.0,76.492,January
Air Costa,2015,2,950,61717.0,77.885,February
Air Costa,2015,3,1046,61790.0,69.232,March
Air Costa,2015,4,980,66134.0,76.859,April
Air Costa,2015,5,801,61345.0,81.206,May
Air Costa,2015,6,946,65903.0,79.171,June
Air Costa,2015,7,938,68327.0,81.673,July
Air Costa,2015,8,883,62026.0,77.325,August
Air Costa,2015,9,839,59341.0,78.929,September
Air Costa,2015,10,773,57942.0,78.431,October
Air Costa,2015,11,628,45620.0,78.01,November
Air Costa,2015,12,691,55444.0,87.056,December
Air Costa,2016,1,765,58607.0,83.985,January
Air Costa,2016,2,690,56760.0,87.055,February
Air Costa,2016,3,608,54387.0,82.081,March
Air Costa,2016,4,714,64459.0,84.009,April
Air Costa,2016,5,714,65321.0,85.679,May
Air Costa,2016,6,698,62187.0,81.51,June
Air Costa,2016,7,744,65239.0,80.808,July
Air Costa,2016,8,721,55188.0,70.827,August
Air Costa,2016,9,648,50799.0,73.716,September
Air Costa,2016,10,657,51223.0,70.657,October
Air Costa,2016,11,646,52240.0,74.143,November
Air Costa,2016,12,582,49599.0,76.893,December
Air Costa,2017,1,490,44092.0,81.12,January
Air Costa,2017,2,440,40234.0,84.885,February
Air Deccan,2017,12,37,252.0,39.613,December
Air Deccan,2018,1,120,1071.0,50.294,January
Air Deccan,2018,2,78,927.0,68.173,February
Air Deccan,2018,3,32,302.0,53.061,March
Air Deccan,2018,4,78,468.0,34.959,April
Air Deccan,2018,5,172,1391.0,48.743,May
Air Deccan,2018,6,75,573.0,44.699,June
Air Deccan,2018,7,17,58.0,18.977,July
Air Deccan,2018,8,152,1374.0,52.347,August
Air Deccan,2018,9,192,1268.0,42.496,September
Air Deccan,2018,10,80,203.0,18.619,October
Air Deccan,2020,1,120,465.0,24.703,January
Air Heritage,2019,1,36,307.0,34.238,January
Air Heritage,2019,2,26,225.0,96.041,February
Air Heritage,2019,9,63,520.0,91.711,September
Air Heritage,2019,10,113,991.0,97.435,October
Air Heritage,2019,11,30,238.0,88.154,November
Air Heritage,2019,12,127,1112.0,97.287,December
Air Heritage,2020,1,100,792.0,88.029,January
Air Heritage,2020,2,80,692.0,96.11,February
Air Heritage,2020,3,49,406.0,92.088,March
Air India,2015,1,8840,1104361.0,82.634,January
Air India,2015,2,7974,1010005.0,83.58,February
Air India,2015,3,8804,996246.0,74.128,March
Air India,2015,4,8384,999526.0,78.72,April
Air India,2015,5,8600,1043708.0,80.575,May
Air India,2015,6,8390,934155.0,73.691,June
Air India,2015,7,8755,1032276.0,78.204,July
Air India,2015,8,8753,1058866.0,79.652,August
Air India,2015,9,8364,990986.0,77.21,September
Air India,2015,10,8812,1015358.0,74.735,October
Air India,2015,11,8732,1119595.0,81.964,November
Air India,2015,12,8857,1217671.0,86.947,December
Air India,2016,1,8964,1157645.0,82.018,January
Air India,2016,2,8482,1085634.0,80.195,February
Air India,2016,3,9029,1086743.0,75.922,March
Air India,2016,4,9008,1117795.0,79.197,April
Air India,2016,5,9390,1246137.0,85.057,May
Air India,2016,6,8972,1156490.0,82.532,June
Air India,2016,7,9218,1177504.0,80.752,July
Air India,2016,8,9171,1134913.0,78.021,August
Air India,2016,9,8885,1117959.0,79.385,September
Air India,2016,10,9117,1030490.0,71.866,October
Air India,2016,11,8887,1068768.0,75.158,November
Air India,2016,12,9524,1245063.0,81.54,December
Air India,2017,1,9536,1265046.0,81.754,January
Air India,2017,2,8445,1084609.0,80.089,February
Air India,2017,3,9105,1089418.0,74.748,March
Air India,2017,4,8654,1086116.0,78.9,April
Air India,2017,5,9539,1219997.0,81.062,May
Air India,2017,6,9517,1149333.0,76.991,June
Air India,2017,7,9914,1179933.0,75.437,July
Air India,2017,8,9770,1176397.0,76.063,August
Air India,2017,9,9465,1163026.0,78.637,September
Air India,2017,10,9933,1216153.0,76.645,October
Air India,2017,11,9410,1271612.0,84.077,November
Air India,2017,12,9975,1298442.0,81.823,December
Air India,2018,1,10159,1369342.0,84.761,January
Air India,2018,2,9158,1259379.0,86.99,February
Air India,2018,3,10242,1365653.0,84.032,March
Air India,2018,4,9913,1345592.0,84.377,April
Air India,2018,5,10291,1333851.0,81.697,May
Air India,2018,6,9921,1238131.0,81.381,June
Air India,2018,7,9631,1255241.0,82.872,July
Air India,2018,8,9639,1265214.0,83.109,August
Air India,2018,9,9180,1173238.0,82.11,September
Air India,2018,10,10234,1276807.0,79.424,October
Air India,2018,11,9822,1242223.0,76.868,November
Air India,2018,12,10515,1372904.0,79.639,December
Air India,2019,1,10378,1343960.0,78.452,January
Air India,2019,2,9320,1286834.0,84.013,February
Air India,2019,3,10247,1345336.0,79.608,March
Air India,2019,4,10377,1344054.0,82.153,April
Air India,2019,5,10757,1429384.0,83.292,May
Air India,2019,6,10359,1354156.0,81.714,June
Air India,2019,7,10171,1290205.0,78.597,July
Air India,2019,8,10302,1329262.0,79.496,August
Air India,2019,9,10344,1301642.0,78.14,September
Air India,2019,10,11262,1352701.0,74.77,October
Air India,2019,11,10449,1377244.0,81.821,November
Air India,2019,12,10377,1349814.0,79.351,December
Air India,2020,1,10454,1285138.0,76.542,January
Air India,2020,2,9921,1283574.0,80.92,February
Air India,2020,3,7495,722474.0,62.444,March
Air India,2020,5,457,41595.0,50.139,May
Air India,2020,6,2211,197747.0,52.081,June
Air India,2020,7,2260,142583.0,41.129,July
Air India,2020,8,2589,224999.0,59.657,August
Air India,2020,9,3519,318320.0,58.054,September
Air India,2020,10,4518,426369.0,62.285,October
Air India,2020,11,5081,558588.0,69.758,November
Air India,2020,12,5857,627009.0,66.305,December
Air India,2021,1,6365,672139.0,65.632,January
Air India,2021,2,6285,786746.0,78.244,February
Air India,2021,3,7102,785520.0,70.657,March
Air India,2021,4,6803,544067.0,52.246,April
Air India,2021,5,5384,321041.0,39.578,May
Air India,2021,6,4172,376800.0,59.06,June
Air India,2021,7,4940,489993.0,64.832,July
Air India,2021,8,6042,648329.0,68.817,August
Air India,2021,9,6113,598097.0,63.669,September
Air India,2021,10,7405,859763.0,75.667,October
Air India,2021,11,7294,945717.0,81.225,November
Air India,2021,12,7810,935686.0,76.455,December
Air India,2022,1,7187,655809.0,59.17,January
Air India,2022,2,6512,855249.0,82.41,February
Air India,2022,3,7172,936381.0,83.628,March
Air India,2022,4,6716,826023.0,79.543,April
Air India,2022,5,6667,822814.0,80.495,May
