year,month,origin_city,dest_city,pax_to,pax_from,total_pax
2021,12,Adampur,Ahmedabad,30,0,30
2018,5,Adampur,Delhi,2258,2190,4448
2018,6,Adampur,Delhi,1984,1981,3965
2018,7,Adampur,Delhi,2333,2205,4538
2018,8,Adampur,Delhi,2146,1981,4127
2018,9,Adampur,Delhi,2237,2164,4401
2018,10,Adampur,Delhi,2277,2251,4528
2018,11,Adampur,Delhi,2289,2319,4608
2018,12,Adampur,Delhi,2308,2290,4598
2019,1,Adampur,Delhi,2332,2307,4639
2019,2,Adampur,Delhi,2072,2097,4169
2019,3,Adampur,Delhi,2333,2303,4636
2019,4,Adampur,Delhi,2268,2257,4525
2019,5,Adampur,Delhi,1968,1776,3744
2019,6,Adampur,Delhi,2275,2172,4447
2019,7,Adampur,Delhi,2048,2088,4136
2019,8,Adampur,Delhi,2343,2296,4639
2019,9,Adampur,Delhi,2264,2145,4409
2019,10,Adampur,Delhi,2322,2606,4928
2019,11,Adampur,Delhi,2600,2525,5125
2019,12,Adampur,Delhi,2606,2601,5207
2020,1,Adampur,Delhi,2198,2248,4446
2020,2,Adampur,Delhi,2178,2190,4368
2020,3,Adampur,Delhi,1170,1144,2314
2020,5,Adampur,Delhi,59,45,104
2020,11,Adampur,Delhi,257,205,462
2020,12,Adampur,Delhi,939,863,1802
2021,1,Adampur,Delhi,1523,1447,2970
2021,2,Adampur,Delhi,1932,1923,3855
2021,3,Adampur,Delhi,1847,1921,3768
2021,4,Adampur,Delhi,905,872,1777
2023,10,Adampur,Delhi,140,131,271
2025,12,Adampur,Delhi,17,10,27
2025,12,Adampur,Ghaziabad,1303,1715,3018
2026,1,Adampur,Ghaziabad,1139,1514,2653
2026,2,Adampur,Ghaziabad,1743,2082,3825
2026,3,Adampur,Ghaziabad,1701,2115,3816
2026,4,Adampur,Ghaziabad,1318,1511,2829
2021,12,Adampur,Guwahati,0,5,5
2024,3,Adampur,Hindon Airport,54,63,117
2024,4,Adampur,Hindon Airport,1724,1559,3283
2024,6,Adampur,Hindon Airport,1661,1424,3085
2024,7,Adampur,Hindon Airport,1280,1214,2494
2024,8,Adampur,Hindon Airport,1063,976,2039
2024,9,Adampur,Hindon Airport,881,817,1698
2024,10,Adampur,Hindon Airport,1561,1578,3139
2024,11,Adampur,Hindon Airport,1670,1528,3198
2024,12,Adampur,Hindon Airport,1709,2018,3727
2025,1,Adampur,Hindon Airport,1431,1317,2748
2025,2,Adampur,Hindon Airport,1686,1653,3339
2025,3,Adampur,Hindon Airport,1902,1839,3741
2025,4,Adampur,Hindon Airport,1621,1643,3264
2025,5,Adampur,Hindon Airport,1167,1234,2401
2025,6,Adampur,Hindon Airport,1546,1492,3038
2025,7,Adampur,Hindon Airport,1482,1477,2959
2025,8,Adampur,Hindon Airport,1055,863,1918
2025,9,Adampur,Hindon Airport,935,770,1705
2025,10,Adampur,Hindon Airport,1476,1542,3018
2025,11,Adampur,Hindon Airport,1394,1697,3091
2021,3,Adampur,Jaipur,23,22,45
2021,4,Adampur,Jaipur,43,44,87
2020,12,Adampur,Kandla,0,4,4
2021,1,Adampur,Kandla,0,2,2
2020,11,Adampur,Mumbai,169,72,241
2020,12,Adampur,Mumbai,912,558,1470
2021,1,Adampur,Mumbai,272,159,431
2021,3,Adampur,Mumbai,42,60,102
2021,4,Adampur,Mumbai,143,138,281
2025,7,Adampur,Mumbai,2374,2109,4483
2025,8,Adampur,Mumbai,3097,2941,6038
2025,9,Adampur,Mumbai,2717,3132,5849
2025,10,Adampur,Mumbai,4149,5330,9479
2025,11,Adampur,Mumbai,4979,4960,9939
