date,year,month,otp_indigo,otp_airindia,otp_spicejet,otp_vistara,otp_akasa,plf_indigo,plf_airindia
2021-07-29,2021,7,99.8,99.0,90.3,98.7,,60.2,56.0
2021-07-30,2021,7,94.4,92.9,85.9,99.0,,61.5,59.0
2021-08-03,2021,8,97.3,91.2,97.6,95.5,,73.6,75.0
2021-08-04,2021,8,95.1,87.4,97.2,97.1,,71.5,78.0
2021-08-05,2021,8,98.9,95.2,100.0,100.0,,72.8,77.0
2021-08-06,2021,8,94.5,88.9,84.9,92.7,,74.9,77.0
2021-08-07,2021,8,95.8,90.7,92.4,98.1,,78.9,81.0
2021-08-09,2021,8,98.5,95.5,96.6,99.1,,72.2,69.0
2021-08-10,2021,8,98.9,93.7,92.8,93.6,,71.6,68.0
2021-08-12,2021,8,99.6,98.0,96.2,98.0,,73.2,70.4
2021-08-13,2021,8,87.1,85.5,89.2,94.6,,77.6,73.7
2021-08-14,2021,8,97.9,97.3,94.8,95.5,,81.1,81.8
2021-08-15,2021,8,98.5,96.1,83.1,100.0,,76.1,72.3
2021-08-16,2021,8,99.4,91.5,91.6,98.3,,72.2,70.4
2021-08-17,2021,8,99.0,98.2,93.8,99.1,,71.3,61.3
2021-08-18,2021,8,99.0,91.3,91.0,96.7,,73.4,68.4
2021-08-19,2021,8,98.8,96.3,93.3,97.4,,75.0,69.9
2021-08-20,2021,8,94.8,90.4,82.9,92.4,,75.5,72.3
2021-08-21,2021,8,94.7,91.1,80.0,95.7,,74.9,68.4
2021-08-22,2021,8,99.1,89.6,86.5,93.2,,74.7,71.3
2021-08-26,2021,8,98.3,95.6,88.3,98.3,,72.2,60.0
2021-08-27,2021,8,96.7,93.0,86.4,96.7,,72.2,63.6
2021-08-28,2021,8,98.2,95.3,88.0,96.6,,74.4,67.4
2021-08-29,2021,8,99.0,96.2,89.2,98.2,,74.3,68.2
2021-09-17,2021,9,98.4,90.4,82.7,94.7,,73.4,63.4
2021-09-24,2021,9,95.8,90.9,94.4,97.7,,74.1,66.3
2021-09-26,2021,9,94.4,94.2,91.6,95.4,,79.6,75.4
2021-09-27,2021,9,95.5,92.6,82.4,97.7,,69.3,60.3
2021-09-29,2021,9,96.8,91.4,90.0,97.7,,72.8,62.4
2021-10-01,2021,10,91.3,83.4,75.5,88.6,,76.8,69.3
2021-10-02,2021,10,94.6,85.8,89.0,91.0,,77.6,72.4
2021-10-03,2021,10,91.8,83.8,83.5,93.3,,77.1,73.3
2021-10-04,2021,10,97.2,88.8,89.0,97.7,,72.4,63.4
2021-10-07,2021,10,93.0,86.9,88.0,95.5,,75.0,71.4
2021-10-15,2021,10,93.9,88.7,86.4,98.3,,74.7,78.4
2021-10-09,2021,10,86.4,70.1,86.0,93.3,,82.1,82.4
2021-10-18,2021,10,87.4,84.8,70.4,87.4,,81.5,83.3
2021-10-26,2021,10,93.5,87.5,88.1,95.4,,74.5,74.8
2021-10-27,2021,10,92.1,81.9,86.2,92.6,,76.5,79.4
2021-11-05,2021,11,94.5,88.4,70.7,97.0,,66.4,76.6
2021-11-07,2021,11,81.6,74.7,59.9,92.2,,87.2,91.6
2021-11-08,2021,11,85.0,76.6,63.9,93.8,,83.4,88.3
2021-11-15,2021,11,80.3,62.3,61.5,83.4,,83.5,88.3
2021-11-27,2021,11,73.0,62.9,63.2,77.3,,88.7,90.2
2021-11-29,2021,11,79.1,64.3,70.0,75.0,,82.5,85.6
2021-12-13,2021,12,84.3,88.8,81.8,78.1,,79.9,78.9
2021-12-26,2021,12,89.1,85.7,82.9,93.9,,84.7,81.2
2021-12-27,2021,12,86.4,80.3,76.8,92.1,,80.3,69.6
2021-12-28,2021,12,85.3,82.2,81.1,93.2,,78.1,65.8
2021-12-29,2021,12,89.6,90.5,75.5,74.6,,76.9,65.7
2021-12-30,2021,12,84.5,89.9,72.4,83.8,,77.6,72.6
2021-12-31,2021,12,89.8,92.4,81.2,90.3,,71.6,72.4
2022-01-01,2022,1,87.1,93.3,81.8,97.4,,68.0,68.7
2022-01-02,2022,1,93.4,92.4,87.4,90.9,,77.6,82.7
2022-01-03,2022,1,85.7,86.5,78.4,95.2,,75.1,71.4
2022-01-04,2022,1,90.7,92.7,85.1,93.8,,68.4,62.3
2022-01-06,2022,1,90.8,88.8,77.8,92.5,,64.1,59.6
2022-01-05,2022,1,86.4,90.3,79.7,88.5,,66.4,60.2
2022-01-07,2022,1,85.2,92.7,89.5,94.4,,66.5,63.3
2022-01-08,2022,1,93.5,84.6,85.2,93.9,,65.8,67.4
2022-01-09,2022,1,96.7,88.1,87.3,94.3,,65.7,66.3
2022-01-10,2022,1,94.4,97.1,94.4,98.3,,63.0,59.6
2022-01-11,2022,1,95.1,93.6,87.1,98.9,,62.0,57.4
2022-01-12,2022,1,96.1,96.5,95.9,95.1,,63.5,56.8
2022-01-13,2022,1,95.6,92.4,88.9,92.8,,55.8,55.6
2022-01-14,2022,1,94.8,90.1,90.6,97.2,,57.1,57.3
2022-01-15,2022,1,96.4,90.5,90.9,97.1,,54.4,59.8
2022-01-16,2022,1,89.2,92.0,92.9,99.1,,58.2,60.3
2022-01-17,2022,1,95.8,95.2,87.1,91.8,,60.2,60.4
2022-01-19,2022,1,96.9,94.4,91.8,94.4,,65.3,53.4
2022-01-18,2022,1,97.1,97.3,90.6,95.4,,65.2,55.2
2022-01-20,2022,1,94.8,91.5,88.5,89.7,,65.7,57.7
2022-01-21,2022,1,93.6,95.1,84.2,93.2,,65.5,60.3
2022-01-22,2022,1,94.2,94.8,94.8,96.1,,66.3,64.4
2022-01-23,2022,1,95.1,94.4,92.6,94.3,,67.3,62.2
2022-01-24,2022,1,96.8,98.2,92.4,90.2,,66.2,57.1
2022-01-25,2022,1,97.2,97.4,92.0,94.0,,69.7,57.5
2022-01-26,2022,1,98.4,95.7,98.9,95.6,,75.1,66.8
2022-01-27,2022,1,99.0,91.3,96.3,100.0,,69.9,64.4
2022-01-28,2022,1,97.4,92.9,91.9,99.0,,72.6,66.3
2022-01-29,2022,1,97.9,96.1,95.3,94.9,,73.6,73.2
2022-01-30,2022,1,98.2,94.4,92.5,97.4,,74.7,73.4
2022-01-31,2022,1,96.2,94.1,90.1,92.5,,72.6,73.2
2022-02-01,2022,2,90.1,82.8,89.6,78.0,,77.3,70.6
2022-02-02,2022,2,91.7,90.4,95.9,87.0,,79.2,75.6
2022-02-03,2022,2,96.7,92.4,90.1,82.4,,81.6,78.3
2022-02-04,2022,2,92.4,82.4,95.8,94.4,,80.5,82.2
2022-02-05,2022,2,89.7,88.4,88.3,85.7,,84.5,87.3
2022-02-06,2022,2,96.1,90.2,82.5,95.1,,88.3,87.4
2022-02-07,2022,2,97.1,93.7,95.7,98.3,,82.6,82.3
2022-02-08,2022,2,96.5,96.4,91.3,89.5,,83.5,83.2
2022-02-09,2022,2,97.7,94.7,95.0,92.7,,83.3,82.7
2022-02-10,2022,2,91.9,94.8,90.4,91.5,,85.1,87.3
2022-02-12,2022,2,98.3,91.2,84.8,92.6,,87.0,92.3
2022-02-11,2022,2,95.7,92.2,66.4,91.3,,85.6,89.4
2022-02-13,2022,2,98.4,94.7,91.9,96.8,,86.8,91.7
2022-02-14,2022,2,97.8,92.4,97.4,95.8,,83.8,86.8
2022-02-15,2022,2,97.9,97.3,94.6,97.6,,84.9,85.6
2022-02-17,2022,2,94.0,90.4,91.4,92.2,,84.9,85.8
2022-02-16,2022,2,97.3,91.1,89.3,91.5,,84.7,86.3
2022-02-18,2022,2,94.8,92.4,87.4,94.6,,85.7,89.3
2022-02-19,2022,2,96.2,92.0,86.5,89.9,,88.0,92.3
2022-02-21,2022,2,86.6,82.1,90.2,89.0,,86.2,88.3
2022-02-23,2022,2,98.1,95.3,96.0,93.3,,82.7,87.3
2022-02-24,2022,2,94.8,88.8,83.2,95.0,,85.6,88.2
