Type,Airline,Year,Month,Aircraft Number,Aircraft Hours,Aircraft Kilometres,Passenger Number,Passenger Kilometers,Seat Kilometers,Passenger Load Factor,Freight,Mail,Total Cargo,Passenger Tonne Kilometer,Mail Tonne Kilometer,Freight Tonne Kilometer,Total Tonne Kilometer,Available Tonne Kilometer,Weight Load Factor
NonScheduledDomestic,Air India,2015,1,204,231,120,25905,15260,17609,86.66,0,0,0,1145,0,0,1145,1694,67.591
NonScheduledDomestic,Air India,2015,2,194,221,115,24648,14626,16757,87.283,0,0,0,1097,0,0,1097,1631,67.259
NonScheduledDomestic,Air India,2015,3,234,272,145,30102,18690,21975,85.051,0,0,0,1402,0,0,1402,2086,67.21
NonScheduledDomestic,Air India,2015,4,162,193,103,19320,12436,15496,80.253,0,0,0,933,0,0,933,1434,65.063
NonScheduledDomestic,Air India,2015,5,218,252,132,27031,16601,19575,84.807,0,0,0,1245,0,0,1245,1828,68.107
NonScheduledDomestic,Air India,2015,6,214,248,132,27416,16800,19647,85.509,0,0,0,1260,0,0,1260,1876,67.164
NonScheduledDomestic,Air India,2015,7,136,168,84,17175,10701,12483,85.725,0,0,0,803,0,0,803,1124,71.441
NonScheduledDomestic,Air India,2015,8,154,183,90,19747,11489,12631,90.959,0,0,0,862,0,0,862,1209,71.299
NonScheduledDomestic,Air India,2015,9,182,229,93,23546,12059,13469,89.532,0,0,0,904,0,0,904,1309,69.06
NonScheduledDomestic,Air India,2015,10,190,240,100,24669,12970,14949,86.762,0,0,0,973,0,0,973,1436,67.758
NonScheduledDomestic,Air India,2015,11,178,227,96,23936,12931,14311,90.357,0,0,0,970,0,0,970,1404,69.088
NonScheduledDomestic,Air India,2015,12,181,250,98,23985,12907,14566,88.61,0,0,0,968,0,0,968,1408,68.75
NonScheduledDomestic,Air India,2016,1,204,290,113,26082,14586,16713,87.273,0,0,0,1094,0,0,1094,1622,67.448
NonScheduledDomestic,Air India,2016,2,196,278,111,25365,14330,16520,86.743,0,0,0,1075,0,0,1075,1590,67.61
NonScheduledDomestic,Air India,2016,3,228,325,133,29748,17460,19740,88.45,0,0,0,1310,0,0,1310,1915,68.407
NonScheduledDomestic,Air India,2016,4,218,321,129,28080,16146,19502,82.792,0,0,0,1211,0,0,1211,1943,62.326
NonScheduledDomestic,Air India,2016,5,261,425,185,40037,35368,37978,93.128,0,0,0,2653,0,0,2653,5019,52.859
NonScheduledDomestic,Air India,2016,6,221,319,128,28403,16476,18849,87.41,0,0,0,1236,0,0,1236,1835,67.357
NonScheduledDomestic,Air India,2016,7,222,315,123,27573,14378,17505,82.137,0,0,0,1078,0,0,1078,1698,63.486
NonScheduledDomestic,Air India,2016,8,209,306,124,26094,14119,16968,83.21,0,0,0,1059,0,0,1059,1650,64.182
NonScheduledDomestic,Air India,2016,9,203,277,109,25579,13625,15542,87.666,0,0,0,1022,0,0,1022,1519,67.281
NonScheduledDomestic,Air India,2016,10,209,295,136,24948,13782,19098,72.165,0,0,0,1034,0,0,1034,1877,55.088
