Year,Month,City1,City2,PaxToCity2,PaxFromCity2,FreightToCity2,FreightFromCity2,MailToCity2,MailFromCity2
2021,12,ADAMPUR,AHMEDABAD,30,0,0,0,0,0
2018,5,ADAMPUR,DELHI,2258,2190,0,0.86,0,0
2018,6,ADAMPUR,DELHI,1984,1981,0,4.33,0,0
2018,7,ADAMPUR,DELHI,2333,2205,0,1.93,0,0
2018,8,ADAMPUR,DELHI,2146,1981,0,0.48,0,0
2018,9,ADAMPUR,DELHI,2237,2164,0,0.61,0,0
2018,10,ADAMPUR,DELHI,2277,2251,0,1.35,0,0
2018,11,ADAMPUR,DELHI,2289,2319,0,2.96,0,0
2018,12,ADAMPUR,DELHI,2308,2290,0,1.17,0,0
2019,1,ADAMPUR,DELHI,2332,2307,0,0.96,0,0
2019,2,ADAMPUR,DELHI,2072,2097,0,0.43,0,0
2019,3,ADAMPUR,DELHI,2333,2303,0,0.75,0,0
2019,4,ADAMPUR,DELHI,2268,2257,0,0.89,0,0
2019,5,ADAMPUR,DELHI,1968,1776,0,1.28,0,0
2019,6,ADAMPUR,DELHI,2275,2172,0,0.74,0,0
2019,7,ADAMPUR,DELHI,2048,2088,0,0.78,0,0
2019,8,ADAMPUR,DELHI,2343,2296,0,0.97,0,0
2019,9,ADAMPUR,DELHI,2264,2145,0,1.47,0,0
2019,10,ADAMPUR,DELHI,2322,2606,0,0.98,0,0
2019,11,ADAMPUR,DELHI,2600,2525,0,1.53,0,0
2019,12,ADAMPUR,DELHI,2606,2601,0,1.97,0,0
2020,1,ADAMPUR,DELHI,2198,2248,0,1.34,0,0
2020,2,ADAMPUR,DELHI,2178,2190,0,0.87,0,0
2020,3,ADAMPUR,DELHI,1170,1144,0,0.98,0,0
2020,5,ADAMPUR,DELHI,59,45,0,0,0,0
2020,11,ADAMPUR,DELHI,257,205,0,0.01,0,0
2020,12,ADAMPUR,DELHI,939,863,0,0.03,0,0
2021,1,ADAMPUR,DELHI,1523,1447,0,0,0,0
2021,2,ADAMPUR,DELHI,1932,1923,0,0.08,0,0
2021,3,ADAMPUR,DELHI,1847,1921,3.12,0.12,0,0
2021,4,ADAMPUR,DELHI,905,872,4.04,0.59,0,0
2023,10,ADAMPUR,DELHI,140,131,0,0,0,0
2025,12,ADAMPUR,DELHI,17,10,0,0,0,0
2025,12,ADAMPUR,GHAZIABAD,1303,1715,0,0,0,0
2026,1,ADAMPUR,GHAZIABAD,1139,1514,0,0,0,0
2026,2,ADAMPUR,GHAZIABAD,1743,2082,0,0,0,0
2026,3,ADAMPUR,GHAZIABAD,1701,2115,0,0,0,0
2026,4,ADAMPUR,GHAZIABAD,1318,1511,0,0,0,0
2021,12,ADAMPUR,GUWAHATI,0,5,0,0,0,0
2024,3,ADAMPUR,HINDON AIRPORT,54,63,0,0,0,0
2024,4,ADAMPUR,HINDON AIRPORT,1724,1559,0,0,0,0
2024,6,ADAMPUR,HINDON AIRPORT,1661,1424,0,0,0,0
2024,7,ADAMPUR,HINDON AIRPORT,1280,1214,0,0,0,0
2024,8,ADAMPUR,HINDON AIRPORT,1063,976,0,0,0,0
2024,9,ADAMPUR,HINDON AIRPORT,881,817,0,0,0,0
2024,10,ADAMPUR,HINDON AIRPORT,1561,1578,0,0,0,0
2024,11,ADAMPUR,HINDON AIRPORT,1670,1528,0,0,0,0
2024,12,ADAMPUR,HINDON AIRPORT,1709,2018,0,0,0,0
2025,1,ADAMPUR,HINDON AIRPORT,1431,1317,0,0,0,0
2025,2,ADAMPUR,HINDON AIRPORT,1686,1653,0,0,0,0
2025,3,ADAMPUR,HINDON AIRPORT,1902,1839,0,0,0,0
2025,4,ADAMPUR,HINDON AIRPORT,1621,1643,0,0,0,0
2025,5,ADAMPUR,HINDON AIRPORT,1167,1234,0,0,0,0
2025,6,ADAMPUR,HINDON AIRPORT,1546,1492,0,0,0,0
2025,7,ADAMPUR,HINDON AIRPORT,1482,1477,0,0,0,0
2025,8,ADAMPUR,HINDON AIRPORT,1055,863,0,0,0,0
2025,9,ADAMPUR,HINDON AIRPORT,935,770,0,0,0,0
2025,10,ADAMPUR,HINDON AIRPORT,1476,1542,0,0,0,0
2025,11,ADAMPUR,HINDON AIRPORT,1394,1697,0,0,0,0
2021,3,ADAMPUR,JAIPUR,23,22,0.11,0,0,0
2021,4,ADAMPUR,JAIPUR,43,44,0,0,0,0
2020,12,ADAMPUR,KANDLA,0,4,0,0,0,0
2021,1,ADAMPUR,KANDLA,0,2,0,0,0,0
2020,11,ADAMPUR,MUMBAI,169,72,0,0,0,0
2020,12,ADAMPUR,MUMBAI,912,558,0,0,0,0
2021,1,ADAMPUR,MUMBAI,272,159,0,0,0,0
2021,3,ADAMPUR,MUMBAI,42,60,0.36,0,0,0
2021,4,ADAMPUR,MUMBAI,143,138,0.99,0.03,0,0
2025,7,ADAMPUR,MUMBAI,2374,2109,0,0.41,0,0
2025,8,ADAMPUR,MUMBAI,3097,2941,0,0.04,0,0
2025,9,ADAMPUR,MUMBAI,2717,3132,0,0.04,0,0
